# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
98 2.4375 0.909078 51.6041
99 2.4625 0.898146 53.0481
100 2.4875 0.893303 54.5137
4000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0.00114064 0.000225
36 0.8875 0.0227427 0.004975
37 0.9125 0.153087 0.038775
38 0.9375 0.536895 0.1639
39 0.9625 1.10209 0.434625
40 0.9875 1.70619 0.8758
41 1.0125 2.20762 1.4759
42 1.0375 2.42108 2.16693
43 1.0625 2.49624 2.91415
44 1.0875 2.36717 3.65648
45 1.1125 2.21734 4.38415
46 1.1375 2.00706 5.07275
47 1.1625 1.80285 5.71877
48 1.1875 1.59997 6.31702
49 1.2125 1.43707 6.87723
50 1.2375 1.31064 7.40942
51 1.2625 1.18188 7.90892
52 1.2875 1.06493 8.377
53 1.3125 0.975982 8.8228
54 1.3375 0.895408 9.24752
55 1.3625 0.849392 9.66563
56 1.3875 0.804025 10.076
57 1.4125 0.765184 10.4808
58 1.4375 0.724884 10.878
59 1.4625 0.711202 11.2814
60 1.4875 0.687626 11.6848
61 1.5125 0.692779 12.105
62 1.5375 0.68906 12.5369
63 1.5625 0.669581 12.9704
64 1.5875 0.701747 13.4393
65 1.6125 0.700172 13.922
66 1.6375 0.720836 14.4345
67 1.6625 0.749978 14.9841
68 1.6875 0.770467 15.5659
69 1.7125 0.807486 16.1938
70 1.7375 0.843257 16.8688
71 1.7625 0.882546 17.5957
72 1.7875 0.916106 18.3718
73 1.8125 0.94775 19.1974
